stock_id,target_mean,target_median,target_high,target_low,num_analysts,source,fetched_at
1101,28.03333,29.0,36.0,19.1,3,yfinance,2026-05-19T17:22:00+00:00
1102,40.86667,39.0,52.0,31.6,3,yfinance,2026-05-19T17:22:01+00:00
1210,58.0,58.0,58.0,58.0,1,yfinance,2026-05-17T15:18:26+00:00
1216,81.35,81.0,95.0,68.0,10,yfinance,2026-05-17T15:18:29+00:00
1301,52.8,60.0,65.0,32.0,5,yfinance,2026-05-17T15:18:50+00:00
1303,84.5,90.5,125.0,26.0,6,yfinance,2026-05-19T17:22:23+00:00
1305,15.5,15.5,15.5,15.5,1,yfinance,2026-05-19T04:12:22+00:00
1307,60.0,60.0,60.0,60.0,1,yfinance,2026-05-17T15:18:53+00:00
1309,11.2,11.2,11.2,11.2,1,yfinance,2026-05-19T04:12:24+00:00
1319,111.0,110.5,135.0,85.0,6,yfinance,2026-05-19T17:22:25+00:00
1326,51.83333,58.0,65.0,20.0,6,yfinance,2026-05-19T17:22:27+00:00
1436,57.0,57.0,57.0,57.0,1,yfinance,2026-05-17T15:19:30+00:00
1476,466.0,455.0,627.0,338.0,15,yfinance,2026-05-17T15:20:07+00:00
1477,295.07144,305.0,380.0,206.0,14,yfinance,2026-05-19T17:23:37+00:00
1503,277.5,277.5,278.0,277.0,2,yfinance,2026-05-17T15:20:08+00:00
1504,97.0,80.0,165.0,76.0,5,yfinance,2026-05-17T15:20:09+00:00
1513,181.4,180.0,200.0,166.0,5,yfinance,2026-05-17T15:20:12+00:00
1514,133.33333,135.0,152.0,113.0,3,yfinance,2026-05-17T15:20:13+00:00
1519,973.0,999.0,1150.0,740.0,6,yfinance,2026-05-17T15:20:16+00:00
1536,40.0,40.0,40.0,40.0,1,yfinance,2026-05-17T15:20:33+00:00
1560,634.125,615.0,855.0,485.0,8,yfinance,2026-05-19T04:13:00+00:00
1563,69.66667,54.0,104.0,51.0,3,yfinance,2026-05-19T17:23:42+00:00
1565,145.0,145.0,145.0,145.0,1,yfinance,2026-05-17T15:20:41+00:00
1582,101.0,101.0,110.0,92.0,2,yfinance,2026-05-19T04:13:01+00:00
1590,1708.1666,1787.5,2000.0,980.0,18,yfinance,2026-05-19T17:23:43+00:00
1605,40.0,40.0,40.0,40.0,1,yfinance,2026-05-19T17:24:00+00:00
1609,41.0,41.0,41.0,41.0,1,yfinance,2026-05-19T04:13:11+00:00
1707,138.0,138.0,138.0,138.0,1,yfinance,2026-05-17T15:21:15+00:00
1717,84.0,84.0,88.0,80.0,2,yfinance,2026-05-17T15:21:23+00:00
1723,100.0,100.0,100.0,100.0,2,yfinance,2026-05-17T15:21:28+00:00
1736,206.5,206.5,218.0,195.0,2,yfinance,2026-05-19T04:13:21+00:00
1773,180.0,180.0,180.0,180.0,1,yfinance,2026-05-19T04:13:23+00:00
1795,382.0,384.0,500.0,260.0,4,yfinance,2026-05-17T15:21:55+00:00
2002,20.32222,20.3,24.0,16.2,9,yfinance,2026-05-19T17:24:18+00:00
2006,86.0,85.0,88.0,85.0,3,yfinance,2026-05-17T15:22:15+00:00
2014,18.86667,18.6,20.0,18.0,3,yfinance,2026-05-19T17:24:27+00:00
2015,68.66667,70.0,73.0,63.0,3,yfinance,2026-05-19T04:13:30+00:00
2027,45.5,45.5,52.0,39.0,2,yfinance,2026-05-19T17:24:28+00:00
2034,22.0,22.0,22.0,22.0,1,yfinance,2026-05-17T15:22:37+00:00
