stock_id,date,close,pe,pb,dividend_yield
1102,2026-04-29,35.4,12.51,0.7,6.5
1216,2026-04-29,70.0,20.29,2.93,4.29
1303,2026-04-29,91.6,160.7,2.04,0.87
2105,2026-04-29,31.55,21.03,1.18,5.71
2207,2026-04-29,480.0,14.15,3.1,4.17
2303,2026-04-29,74.5,22.51,2.47,3.49
2308,2026-04-29,2165.0,93.56,20.98,0.54
2317,2026-04-29,225.0,16.59,1.77,3.2
2330,2026-04-29,2180.0,32.91,10.43,1.01
2356,2026-04-29,46.3,19.13,2.18,4.32
2357,2026-04-29,588.0,9.8,1.63,7.14
2376,2026-04-29,272.5,14.97,3.09,4.4
2379,2026-04-29,551.0,19.25,5.44,4.54
2382,2026-04-29,322.0,16.56,5.1,4.84
2412,2026-04-29,136.5,27.35,2.74,3.81
2454,2026-04-29,2575.0,39.03,10.26,2.08
2474,2026-04-29,216.5,17.8,0.89,4.69
2603,2026-04-29,201.5,6.36,0.77,7.94
2609,2026-04-29,49.35,10.07,0.53,4.05
2610,2026-04-29,18.15,7.5,1.13,4.52
2615,2026-04-29,75.7,6.75,0.77,3.96
2618,2026-04-29,34.0,7.02,1.33,5.88
2880,2026-04-29,32.9,17.32,1.94,4.41
2881,2026-04-29,91.3,11.78,1.45,4.65
2882,2026-04-29,78.6,11.89,1.37,4.45
2883,2026-04-29,21.7,13.4,1.23,4.61
2884,2026-04-29,32.4,15.28,1.92,4.32
2885,2026-04-29,52.3,19.09,2.05,4.21
2886,2026-04-29,40.1,16.99,1.52,4.36
2887,2026-04-29,24.05,16.94,1.31,4.57
2890,2026-04-29,31.9,17.43,1.81,4.08
2891,2026-04-29,53.1,13.28,2.07,4.71
2892,2026-04-29,28.55,15.27,1.4,4.2
2912,2026-04-29,224.5,20.83,5.48,4.01
3008,2026-04-29,2595.0,16.2,1.84,3.08
3034,2026-04-29,408.5,15.2,3.67,5.63
3037,2026-04-29,803.0,118.09,11.25,0.25
3045,2026-04-29,112.0,23.48,3.93,4.29
3231,2026-04-29,140.5,16.3,2.52,3.91
3711,2026-04-29,488.5,52.58,6.16,1.35
4904,2026-04-29,96.0,25.2,3.76,3.97
5871,2026-04-29,118.5,11.14,1.21,5.06
5880,2026-04-29,23.15,17.02,1.3,4.54
6505,2026-04-29,54.0,51.92,1.45,2.22
6669,2026-04-29,4845.0,17.61,7.22,3.41
