trade_date,universe,strategy,sid,score,rank,params_hash,payload,ml_prob,computed_at
2026-05-06,pure_stock,bb_lower_rebound,1264,,,default_v1,"{""stock_id"": ""1264"", ""name"": ""德麥"", ""close"": 271.0, ""open"": 270.5, ""bb_lower"": 271.4603950324549, ""bb_mid"": 276.175, ""vol_ratio"": 1.053346924906558, ""matched_at"": ""2026-05-06"", ""atr14"": 2.4229330659540644, ""target_low"": 274.6343995989311, ""target_high"": 278.2687991978622, ""stop_loss"": 267.3656004010689, ""risk_reward"": 2.0}",0.31758807518216303,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,2230,,,default_v1,"{""stock_id"": ""2230"", ""name"": ""泰茂"", ""close"": 31.9, ""open"": 29.25, ""bb_lower"": 26.862350175076767, ""bb_mid"": 29.7825, ""vol_ratio"": 1.3657445224155145, ""matched_at"": ""2026-05-06"", ""atr14"": 1.5176135023370705, ""target_low"": 34.176420253505604, ""target_high"": 36.45284050701121, ""stop_loss"": 29.623579746494393, ""risk_reward"": 2.0}",0.6356063771907974,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,2643,,,default_v1,"{""stock_id"": ""2643"", ""name"": ""捷迅"", ""close"": 66.9, ""open"": 66.5, ""bb_lower"": 65.76763889268265, ""bb_mid"": 68.31, ""vol_ratio"": 2.084397945187058, ""matched_at"": ""2026-05-06"", ""atr14"": 1.039581677534389, ""target_low"": 68.45937251630158, ""target_high"": 70.01874503260318, ""stop_loss"": 65.34062748369843, ""risk_reward"": 2.0000000000000093}",0.35418754188938245,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,3226,,,default_v1,"{""stock_id"": ""3226"", ""name"": ""龍鋒"", ""close"": 42.95, ""open"": 41.15, ""bb_lower"": 12.229697777937826, ""bb_mid"": 37.2425, ""vol_ratio"": 7.274314395868189, ""matched_at"": ""2026-05-06"", ""atr14"": 12.12614151309469, ""target_low"": 61.13921226964204, ""target_high"": 79.32842453928407, ""stop_loss"": 24.76078773035797, ""risk_reward"": 2.0}",0.41184606023346687,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,3252,,,default_v1,"{""stock_id"": ""3252"", ""name"": ""海灣"", ""close"": 18.8, ""open"": 18.65, ""bb_lower"": 18.945562502239994, ""bb_mid"": 19.8175, ""vol_ratio"": 1.3870233019914735, ""matched_at"": ""2026-05-06"", ""atr14"": 0.47733122223717667, ""target_low"": 19.515996833355764, ""target_high"": 20.23199366671153, ""stop_loss"": 18.084003166644237, ""risk_reward"": 2.000000000000005}",0.4051967308098986,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,3360,,,default_v1,"{""stock_id"": ""3360"", ""name"": ""尚立"", ""close"": 13.4, ""open"": 13.35, ""bb_lower"": 13.244039107213283, ""bb_mid"": 13.959999999999999, ""vol_ratio"": 1.3410565456293495, ""matched_at"": ""2026-05-06"", ""atr14"": 0.45409184882885406, ""target_low"": 14.081137773243281, ""target_high"": 14.762275546486563, ""stop_loss"": 12.71886222675672, ""risk_reward"": 2.0000000000000027}",0.29672826207051056,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,3523,,,default_v1,"{""stock_id"": ""3523"", ""name"": ""迎輝"", ""close"": 12.95, ""open"": 12.7, ""bb_lower"": 6.600694486311743, ""bb_mid"": 12.360000000000001, ""vol_ratio"": 1.1009335916857494, ""matched_at"": ""2026-05-06"", ""atr14"": 2.7309220317515788, ""target_low"": 17.046383047627366, ""target_high"": 21.142766095254736, ""stop_loss"": 8.853616952372631, ""risk_reward"": 2.0}",0.49466820100574926,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,4102,,,default_v1,"{""stock_id"": ""4102"", ""name"": ""永日"", ""close"": 17.85, ""open"": 17.7, ""bb_lower"": 18.235743616868948, ""bb_mid"": 18.975, ""vol_ratio"": 1.5913057315702013, ""matched_at"": ""2026-05-06"", ""atr14"": 0.3763201121833443, ""target_low"": 18.414480168275016, ""target_high"": 18.978960336550035, ""stop_loss"": 17.285519831724987, ""risk_reward"": 2.000000000000006}",0.2324514740223752,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,4174,,,default_v1,"{""stock_id"": ""4174"", ""name"": ""浩鼎"", ""close"": 35.25, ""open"": 34.4, ""bb_lower"": 30.5190260620181, ""bb_mid"": 35.91, ""vol_ratio"": 3.101069299198372, ""matched_at"": ""2026-05-06"", ""atr14"": 1.5435101689524235, ""target_low"": 37.565265253428635, ""target_high"": 39.88053050685727, ""stop_loss"": 32.934734746571365, ""risk_reward"": 2.0}",0.5642123654618869,2026-05-06T08:21:18+00:00
2026-05-06,pure_stock,bb_lower_rebound,4192,,,default_v1,"{""stock_id"": ""4192"", ""name"": ""杏國"", ""close"": 20.45, ""open"": 20.05, ""bb_lower"": -0.014309414941639176, ""bb_mid"": 16.1175, ""vol_ratio"": 5.039331366764995, ""matched_at"": ""2026-05-06"", ""atr14"": 5.884747627696109, ""target_low"": 29.277121441544164, ""target_high"": 38.10424288308833, ""stop_loss"": 11.622878558455835, ""risk_reward"": 2.0000000000000004}",0.5120202316150861,2026-05-06T08:21:18+00:00
