stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
00400A,2026-04-28,12.75,12.88,12.69,12.78,59051771.0,754730325.0,10636.0,0.03
00401A,2026-04-28,11.87,11.96,11.84,11.88,12942247.0,153937975.0,1800.0,0.07
0050,2026-04-28,92.55,93.65,91.9,92.0,126301332.0,11691553456.0,193633.0,-1.0
0051,2026-04-28,124.95,125.4,124.4,125.4,81937.0,10237929.0,551.0,1.6
0052,2026-04-28,54.3,54.95,53.8,53.8,72213436.0,3918132736.0,50123.0,-1.05
0053,2026-04-28,214.2,214.2,211.5,211.5,27163.0,5775378.0,222.0,-1.55
0055,2026-04-28,33.21,33.35,33.0,33.28,501578.0,16664355.0,412.0,0.23
0056,2026-04-28,41.0,41.33,40.97,41.11,79437843.0,3270023271.0,25167.0,0.21
0057,2026-04-28,276.75,277.1,272.45,272.55,23387.0,6395805.0,130.0,-3.05
0061,2026-04-28,24.22,24.4,24.21,24.22,410636.0,9980950.0,252.0,0.0
006201,2026-04-29,41.76,41.97,41.4,41.95,384000.0,16043270.0,140.0,0.11
006203,2026-04-28,170.45,170.45,168.3,168.3,13584.0,2294574.0,121.0,-2.35
006204,2026-04-28,197.5,197.55,197.5,197.55,43153.0,8521143.0,122.0,-0.2
006205,2026-04-28,40.16,40.52,40.05,40.45,331282.0,13353953.0,339.0,0.29
006206,2026-04-28,36.72,37.0,36.68,36.94,95087.0,3498998.0,171.0,0.25
006207,2026-04-28,32.45,32.63,32.45,32.52,436573.0,14216159.0,158.0,0.0
006208,2026-04-28,214.7,216.5,213.05,213.15,6113322.0,1311527270.0,15777.0,-2.3
00625K,2026-04-28,,,,,,,,0.0
00631L,2026-04-28,29.45,30.06,29.2,29.27,199128581.0,5891517151.0,64864.0,-0.35
00632R,2026-04-28,11.8,11.84,11.69,11.82,86515811.0,1018226157.0,8822.0,0.11
00633L,2026-04-28,51.25,51.5,50.6,51.25,2226478.0,114007756.0,318.0,0.0
00634R,2026-04-28,3.12,3.12,3.1,3.12,298899.0,927006.0,18.0,0.01
00635U,2026-04-28,49.23,49.23,48.84,48.85,5764426.0,282437551.0,5037.0,-0.64
00636,2026-04-28,28.03,28.2,27.97,28.15,593091.0,16669322.0,333.0,0.12
00636K,2026-04-28,9.0,9.0,9.0,9.0,200.0,1800.0,2.0,0.01
00637L,2026-04-28,21.03,21.24,20.9,21.12,17153636.0,362006179.0,1986.0,0.04
00638R,2026-04-28,6.69,6.7,6.67,6.68,1101080.0,7368610.0,20.0,0.02
00639,2026-04-28,17.0,17.05,16.85,16.96,611080.0,10357160.0,304.0,-0.06
00640L,2026-04-28,92.7,93.3,92.4,92.8,265052.0,24612302.0,172.0,0.75
00641R,2026-04-28,4.03,4.05,4.02,4.03,623740.0,2517547.0,35.0,-0.02
00642U,2026-04-28,29.3,29.53,29.21,29.43,6919209.0,203215510.0,2404.0,0.53
00643,2026-04-28,19.55,19.6,19.43,19.5,2903399.0,56818880.0,211.0,-0.04
00643K,2026-04-28,,,,,,,,0.0
00645,2026-04-28,52.75,53.0,52.75,52.85,882573.0,46627567.0,343.0,0.15
00646,2026-04-28,70.85,71.1,70.8,71.05,1953276.0,138658762.0,3219.0,0.55
00647L,2026-04-28,124.35,124.35,123.9,123.9,36663.0,4549108.0,127.0,0.65
00648R,2026-04-28,4.15,4.17,4.14,4.15,184000.0,764080.0,40.0,0.0
00650L,2026-04-28,17.53,17.53,17.19,17.21,2950819.0,51059584.0,520.0,-0.23
00651R,2026-04-28,5.2,5.26,5.2,5.25,88433.0,462055.0,13.0,0.06
00652,2026-04-28,33.05,33.22,32.96,33.22,390910.0,12925419.0,377.0,0.16
00653L,2026-04-28,46.99,47.28,46.64,47.27,361804.0,16975593.0,131.0,0.28
00654R,2026-04-28,6.77,6.78,6.75,6.75,220110.0,1489894.0,11.0,0.01
00655L,2026-04-28,35.49,35.93,35.32,35.72,946651.0,33715601.0,181.0,0.03
00656R,2026-04-28,5.9,5.9,5.86,5.86,338583.0,1993164.0,12.0,0.0
00657,2026-04-28,70.55,70.55,70.2,70.2,21739.0,1529868.0,97.0,-0.8
00657K,2026-04-28,22.3,22.3,22.3,22.3,200.0,4460.0,2.0,-0.47
00660,2026-04-28,42.7,42.93,42.7,42.82,12591.0,538309.0,75.0,0.13
00661,2026-04-28,77.65,77.8,77.3,77.35,92517.0,7176753.0,239.0,-0.95
00662,2026-04-28,110.55,110.7,110.25,110.3,11079150.0,1224177898.0,3503.0,-0.15
00663L,2026-04-28,84.65,86.3,83.85,84.0,8545003.0,726268651.0,2975.0,-0.85
00664R,2026-04-28,1.9,1.92,1.89,1.91,20007614.0,38152802.0,659.0,0.02
00665L,2026-04-28,10.03,10.03,9.78,9.79,12573678.0,124173477.0,1723.0,-0.23
00666R,2026-04-28,9.01,9.06,8.99,9.06,64100.0,577955.0,13.0,0.16
00668,2026-04-28,56.4,56.7,56.4,56.65,100007.0,5660639.0,99.0,0.4
00668K,2026-04-28,17.96,17.96,17.96,17.96,200.0,3592.0,2.0,-0.02
00669R,2026-04-28,5.58,5.59,5.56,5.57,316785.0,1765840.0,39.0,-0.02
00670L,2026-04-28,180.4,180.6,179.15,179.3,1636277.0,294542124.0,1240.0,-1.15
00671R,2026-04-28,2.65,2.65,2.64,2.65,1333411.0,3526354.0,118.0,0.01
00673R,2026-04-28,12.73,12.77,12.66,12.71,18992805.0,241507025.0,3132.0,-0.19
00674R,2026-04-28,26.32,26.57,26.32,26.55,125502.0,3322044.0,54.0,0.42
00675L,2026-04-28,255.95,261.35,253.85,254.4,1759126.0,452338219.0,2067.0,-2.75
00676R,2026-04-28,6.5,6.54,6.45,6.54,6795696.0,44106500.0,479.0,0.06
00678,2026-04-28,35.38,35.5,35.38,35.47,226565.0,8037145.0,103.0,-0.1
00679B,2026-04-29,26.9,27.0,26.9,26.99,21942000.0,591735810.0,2808.0,0.11
00680L,2026-04-28,7.0,7.0,6.97,6.98,20222656.0,141170363.0,1193.0,-0.04
00681R,2026-04-28,20.98,20.98,20.98,20.98,1476.0,30961.0,2.0,0.0
00682U,2026-04-28,,,,,200.0,4008.0,4.0,0.0
00683L,2026-04-28,20.92,20.97,20.81,20.93,943250.0,19686866.0,85.0,0.01
00684R,2026-04-28,15.39,15.39,15.39,15.39,4003.0,61606.0,2.0,0.0
00685L,2026-04-28,231.0,236.0,229.1,229.5,1164703.0,270653621.0,1737.0,-2.4
00686R,2026-04-28,1.17,1.18,1.16,1.17,5924989.0,6931286.0,196.0,0.01
00687B,2026-04-29,27.96,28.07,27.94,28.04,19244000.0,539210950.0,2295.0,0.11
00687C,2026-04-29,9.35,9.39,9.35,9.39,26500.0,247820.0,5.0,0.06
00688L,2026-04-28,6.96,6.98,6.96,6.98,3932819.0,27397206.0,493.0,-0.03
00689R,2026-04-28,21.9,21.91,21.88,21.91,72000.0,1576800.0,5.0,0.11
00690,2026-04-28,67.05,68.2,67.05,67.25,694720.0,46905396.0,529.0,0.2
00692,2026-04-28,80.9,81.7,80.25,80.4,1497976.0,121198466.0,1660.0,-0.7
00693U,2026-04-28,22.09,22.15,21.97,22.02,1468122.0,32388449.0,281.0,0.1
00694B,2026-04-29,41.56,41.61,41.54,41.61,573000.0,23831490.0,40.0,0.03
00695B,2026-04-29,35.18,35.27,35.18,35.26,121000.0,4264910.0,23.0,0.0
00696B,2026-04-29,29.01,29.12,29.01,29.09,2614000.0,76031960.0,107.0,0.08
00697B,2026-04-29,35.82,35.82,35.72,35.8,473000.0,16917720.0,87.0,-0.02
00700,2026-04-28,17.5,17.5,17.3,17.31,253559.0,4409616.0,235.0,-0.19
00701,2026-04-28,30.0,30.14,29.89,30.03,908983.0,27325210.0,675.0,0.13
00702,2026-04-28,23.58,23.62,23.58,23.62,124222.0,2933178.0,89.0,0.04
00703,2026-04-28,20.16,20.18,20.11,20.11,59849.0,1204264.0,82.0,-0.21
00706L,2026-04-28,19.28,19.41,19.27,19.36,1272252.0,24597933.0,263.0,0.04
00707R,2026-04-28,31.88,31.88,31.88,31.88,25000.0,797000.0,1.0,0.0
00708L,2026-04-28,97.6,97.7,95.95,96.2,2592711.0,250998741.0,2605.0,-2.6
00709,2026-04-28,37.75,37.84,37.64,37.78,48564.0,1831866.0,216.0,0.0
00710B,2026-04-28,18.88,18.92,18.86,18.92,159804.0,3021519.0,60.0,0.09
00711B,2026-04-28,16.05,16.11,16.05,16.11,104821.0,1687402.0,63.0,0.07
00712,2026-04-28,9.1,9.2,9.1,9.18,38830859.0,355598504.0,4723.0,0.12
00713,2026-04-28,53.15,53.35,52.85,53.0,20482703.0,1086546555.0,6454.0,-0.1
