stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
00400A,2026-04-09,10.76,10.94,10.75,10.9,238045041,2580327559.0,21888,0.14
00400A,2026-04-10,11.1,11.15,11.02,11.14,148646367,1648898030.0,23866,0.24
00400A,2026-04-13,11.15,11.19,11.08,11.12,90785437,1010159593.0,18472,-0.02
00400A,2026-04-14,11.35,11.4,11.23,11.29,63050198,713017728.0,11485,0.17
00400A,2026-04-15,11.42,11.67,11.42,11.56,70919272,821589813.0,14076,0.27
00400A,2026-04-16,11.71,11.86,11.67,11.86,75273003,886064815.0,13095,0.3
00400A,2026-04-17,11.87,12.06,11.86,11.92,140058208,1677148993.0,27702,0.06
00400A,2026-04-20,12.06,12.23,11.99,12.13,133473308,1620794024.0,23875,0.21
00400A,2026-04-21,12.33,12.47,12.24,12.38,120826979,1493786956.0,19837,0.25
00400A,2026-04-22,12.47,12.71,12.47,12.57,144088297,1816562279.0,26073,0.19
00400A,2026-04-23,12.9,12.96,12.1,12.31,239421160,2991926335.0,47346,-0.26
00400A,2026-04-24,12.61,12.74,12.43,12.74,106659496,1347516120.0,16781,0.43
00400A,2026-04-27,13.03,13.05,12.68,12.75,152410911,1954088386.0,24802,0.01
00400A,2026-04-28,12.75,12.88,12.69,12.78,59051771,754730325.0,10636,0.03
00400A,2026-04-29,12.62,12.78,12.53,12.71,63111376,799833851.0,11939,-0.07
00400A,2026-04-30,12.8,13.0,12.79,12.92,70041137,904555892.0,10647,0.21
1233,2025-11-04,30.8,30.8,30.8,30.8,2039,62790.0,10,0.15
1233,2025-11-05,31.1,31.1,31.1,31.1,1238,38427.0,7,0.3
1233,2025-11-06,30.8,30.85,30.7,30.7,11091,341265.0,13,-0.4
1233,2025-11-07,30.8,30.8,30.8,30.8,1310,40403.0,27,0.1
1233,2025-11-10,30.8,30.8,30.8,30.8,1000,30800.0,1,0.0
1233,2025-11-11,30.8,30.9,30.8,30.8,5010,154410.0,4,0.0
1233,2025-11-12,30.8,30.8,30.8,30.8,6110,188176.0,6,0.0
1233,2025-11-13,31.0,31.0,31.0,31.0,2967,93153.0,33,0.2
1233,2025-11-14,30.85,30.85,30.8,30.8,7601,234039.0,12,-0.2
1233,2025-11-17,30.8,30.95,30.7,30.75,13543,416907.0,63,-0.05
1233,2025-11-18,30.8,30.8,30.7,30.7,10104,310846.0,12,-0.05
1233,2025-11-19,30.8,30.8,30.7,30.75,8054,247811.0,9,0.05
1233,2025-11-20,30.85,30.85,30.8,30.8,3048,93925.0,7,0.05
1233,2025-11-21,30.85,30.85,30.8,30.8,7447,229479.0,35,0.0
1233,2025-11-24,31.0,31.0,31.0,31.0,20182,625594.0,27,0.2
1233,2025-11-25,31.2,31.55,31.2,31.55,20230,636975.0,20,0.55
1233,2025-11-26,31.65,31.65,31.5,31.55,31214,985434.0,21,0.0
1233,2025-11-27,31.65,31.65,31.65,31.65,1490,47088.0,8,0.1
1233,2025-11-28,32.0,32.05,32.0,32.0,17006,544412.0,25,0.35
1233,2025-12-01,32.0,32.0,32.0,32.0,6557,209605.0,16,0.0
1233,2025-12-02,32.0,32.3,32.0,32.3,11933,383514.0,26,0.3
1233,2025-12-03,32.35,32.35,32.35,32.35,6366,205903.0,10,0.05
1233,2025-12-04,32.1,32.1,32.1,32.1,3597,115544.0,15,-0.25
1233,2025-12-05,32.25,32.3,32.2,32.3,5043,162690.0,9,0.2
1233,2025-12-08,32.1,32.4,32.1,32.25,14166,456260.0,12,-0.05
1233,2025-12-09,32.1,32.2,32.1,32.2,7310,235050.0,13,-0.05
1233,2025-12-10,32.2,32.3,32.1,32.15,21319,686553.0,22,-0.05
