trade_date,section,rank,sid,name,verdict_color,verdict,score,main_reason,count
2026-05-18,count,,,,🟢,,,,319.0
2026-05-18,count,,,,🟡,,,,562.0
2026-05-18,count,,,,🔴,,,,4.0
2026-05-18,top_green,1.0,6282,康舒,🟢,可進場,10.0,📈 大盤多頭(順風),
2026-05-18,top_green,2.0,2464,盟立,🟢,可進場,9.0,📈 大盤多頭(順風),
2026-05-18,top_green,3.0,2485,兆赫,🟢,可進場,9.0,📈 大盤多頭(順風),
2026-05-18,top_yellow,1.0,2344,華邦電,🟡,觀望,9.0,"已持倉 — 守停損 126.585,看停利 137.025,不要追加",
2026-05-18,top_yellow,2.0,2449,京元電子,🟡,觀望,8.0,"已持倉 — 守停損 287.12,看停利 310.8,不要追加",
2026-05-18,top_yellow,3.0,3481,群創,🟡,觀望,8.0,"已持倉 — 守停損 36.375,看停利 39.375,不要追加",
2026-05-18,top_yellow,4.0,2355,敬鵬,🟡,觀望,6.0,"已持倉 — 守停損 55.969,看停利 60.58500000000001,不要追加",
2026-05-18,top_yellow,5.0,3211,順達,🟡,觀望,6.0,"已持倉 — 守停損 356.47499999999997,看停利 385.875,不要追加",
2026-05-18,top_red,1.0,5274,信驊,🔴,不進場,-2.0,⚠️ 違約交割警示生效中(主公千萬別碰),
2026-05-18,top_red,2.0,8358,金居,🔴,不進場,-1.0,⚠️ 違約交割警示生效中(主公千萬別碰),
2026-05-18,top_red,3.0,3081,聯亞,🔴,不進場,0.0,⚠️ 違約交割警示生效中(主公千萬別碰),
