stock_id,year,cash_dividend,stock_dividend,ex_dividend_date
2501,2021,1.0,0.0,2021-08-17
2501,2022,0.6,0.0,2022-07-14
2501,2023,0.5,0.0,2023-07-13
2501,2024,1.0,0.0,2024-07-16
2501,2025,1.0,0.0,2025-07-10
3558,2021,4.0,0.0,2021-08-31
3558,2022,3.0,0.0,2022-08-11
3558,2023,5.0,0.0,2023-09-12
3558,2024,4.0,0.0,2024-09-24
3558,2025,3.0,0.0,2025-09-03
4560,2021,1.0,0.0,2021-08-23
4560,2022,1.8,0.0,2022-05-26
4560,2023,2.2,0.0,2023-08-08
4560,2024,0.6,0.0,2024-07-30
4560,2025,1.2,0.0,2025-07-30
4563,2024,0.534,0.0,2024-08-22
4563,2025,3.0,0.0,2025-08-25
6691,2021,6.3,4.7,2021-07-26
6691,2022,14.0,0.0,2022-07-12
6691,2023,19.25,3.0398,2023-07-17
6691,2024,16.0,2.0,2024-07-22
6691,2025,16.0,1.5,2025-07-23
6719,2021,1.49876953,0.0,2021-08-30
6719,2022,7.49497169,0.0,2022-08-30
6719,2023,9.96112536,0.0,2023-07-04
6719,2024,0.39843229,0.0,2024-07-18
6719,2025,1.69693406,0.0,2025-07-17
9958,2021,2.98327931,0.0,2021-08-31
9958,2022,2.98905113,0.0,2022-09-20
9958,2023,0.49424684,0.0,2023-08-31
9958,2024,2.91194963,0.0,2024-08-22
9958,2025,4.16201109,0.0,2025-08-08
