stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1101,quarterly,2021-Q2,,,1.24,,,2021-06-30
1101,quarterly,2021-Q3,,,0.59,,,2021-09-30
1101,quarterly,2021-Q4,,,0.89,,,2021-12-31
1101,quarterly,2022-Q1,,,0.2,,,2022-03-31
1101,quarterly,2022-Q2,,,-0.02,-101.61290322580645,,2022-06-30
1101,quarterly,2022-Q3,,,0.22,-62.71186440677966,,2022-09-30
1101,quarterly,2022-Q4,,,0.36,-59.55056179775281,,2022-12-31
1101,quarterly,2023-Q1,,,0.2,0.0,,2023-03-31
1101,quarterly,2023-Q2,,,0.45,2350.0,,2023-06-30
1101,quarterly,2023-Q3,,,0.17,-22.72727272727272,,2023-09-30
1101,quarterly,2023-Q4,,,0.24,-33.33333333333333,,2023-12-31
1101,quarterly,2024-Q1,,,0.26,30.0,,2024-03-31
1101,quarterly,2024-Q2,,,0.25,-44.44444444444445,,2024-06-30
1101,quarterly,2024-Q3,,,0.42,147.05882352941174,,2024-09-30
1101,quarterly,2024-Q4,,,0.52,116.66666666666667,,2024-12-31
1101,quarterly,2025-Q1,,,0.07,-73.07692307692307,,2025-03-31
1101,quarterly,2025-Q2,,,0.0,-100.0,,2025-06-30
1101,quarterly,2025-Q3,,,-1.36,-423.8095238095238,,2025-09-30
1101,quarterly,2025-Q4,,,-0.32,-161.53846153846155,,2025-12-31
1101,quarterly,2026-Q1,,,0.1,42.85714285714285,,2026-03-31
1102,quarterly,2021-Q2,,,1.44,,,2021-06-30
1102,quarterly,2021-Q3,,,1.04,,,2021-09-30
1102,quarterly,2021-Q4,,,1.2,,,2021-12-31
1102,quarterly,2022-Q1,,,0.76,,,2022-03-31
1102,quarterly,2022-Q2,,,1.35,-6.24999999999999,,2022-06-30
1102,quarterly,2022-Q3,,,1.33,27.884615384615387,,2022-09-30
1102,quarterly,2022-Q4,,,0.19,-84.16666666666667,,2022-12-31
1102,quarterly,2023-Q1,,,0.81,6.5789473684210575,,2023-03-31
1102,quarterly,2023-Q2,,,1.26,-6.666666666666672,,2023-06-30
1102,quarterly,2023-Q3,,,0.82,-38.34586466165415,,2023-09-30
1102,quarterly,2023-Q4,,,0.4,110.5263157894737,,2023-12-31
1102,quarterly,2024-Q1,,,0.89,9.876543209876537,,2024-03-31
1102,quarterly,2024-Q2,,,1.27,0.7936507936507943,,2024-06-30
1102,quarterly,2024-Q3,,,0.57,-30.48780487804878,,2024-09-30
1102,quarterly,2024-Q4,,,1.14,184.99999999999997,,2024-12-31
1102,quarterly,2025-Q1,,,0.41,-53.93258426966292,,2025-03-31
1102,quarterly,2025-Q2,,,0.88,-30.708661417322837,,2025-06-30
1102,quarterly,2025-Q3,,,1.13,98.24561403508771,,2025-09-30
1102,quarterly,2025-Q4,,,0.58,-49.122807017543856,5.533279871692061,2025-12-31
1102,quarterly,2026-Q1,,,0.56,36.58536585365856,5.98438855160451,2026-03-31
1103,quarterly,2021-Q2,,,-0.25,,,2021-06-30
1103,quarterly,2021-Q3,,,1.37,,,2021-09-30
1103,quarterly,2021-Q4,,,0.09,,,2021-12-31
1103,quarterly,2022-Q1,,,-0.12,,,2022-03-31
1103,quarterly,2022-Q2,,,-0.62,-148.0,,2022-06-30
1103,quarterly,2022-Q3,,,0.41,-70.07299270072993,,2022-09-30
1103,quarterly,2022-Q4,,,0.05,-44.44444444444444,,2022-12-31
1103,quarterly,2023-Q1,,,0.03,125.0,,2023-03-31
1103,quarterly,2023-Q2,,,0.0,100.0,,2023-06-30
1103,quarterly,2023-Q3,,,0.18,-56.09756097560975,,2023-09-30
1103,quarterly,2023-Q4,,,-0.09,-280.0,,2023-12-31
1103,quarterly,2024-Q1,,,-0.06,-300.0,,2024-03-31
1103,quarterly,2024-Q2,,,0.11,,,2024-06-30
1103,quarterly,2024-Q3,,,0.74,311.11111111111114,,2024-09-30
1103,quarterly,2024-Q4,,,-0.31,-244.44444444444446,,2024-12-31
1103,quarterly,2025-Q1,,,0.13,316.6666666666667,,2025-03-31
1103,quarterly,2025-Q2,,,-0.44,-500.0,,2025-06-30
1103,quarterly,2025-Q3,,,1.04,40.54054054054055,,2025-09-30
