stock_id,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,total_buy_sell
2454,2026-02-02,-2088347,259168,-268599,-2097778
2454,2026-02-03,1084653,857207,307871,2249731
2454,2026-02-04,-532366,222237,295512,-14617
2454,2026-02-05,687921,760633,60203,1508757
2454,2026-02-06,-3749896,259533,-356982,-3847345
2454,2026-02-09,4159183,317573,228612,4705368
2454,2026-02-10,-653954,548256,-86569,-192267
2454,2026-02-11,368977,6000,-178709,196268
2454,2026-02-23,-4503108,88410,-131354,-4546052
2454,2026-02-24,1607441,-114136,54754,1548059
2454,2026-02-25,3067569,-42421,-184814,2840334
2454,2026-02-26,757762,309820,106774,1174356
2454,2026-03-02,-813157,194749,-144881,-763289
2454,2026-03-03,-3590467,-8052,-161292,-3759811
2454,2026-03-04,-3064271,333978,-130628,-2860921
2454,2026-03-05,-1555825,-8752,-217088,-1781665
2454,2026-03-06,-955293,-65233,54692,-965834
2454,2026-03-09,-2272447,494607,105605,-1672235
2454,2026-03-10,-593085,-108674,-85852,-787611
2454,2026-03-11,-948153,-96533,327907,-716779
2454,2026-03-12,-729961,-283256,52380,-960837
2454,2026-03-13,-3478757,-194297,-86245,-3759299
2454,2026-03-16,-685342,-262256,70213,-877385
2454,2026-03-17,-543862,-112637,45531,-610968
2454,2026-03-18,-920633,-155860,59922,-1016571
2454,2026-03-19,-3005217,-221900,-79742,-3306859
2454,2026-03-20,1100107,-222805,17354,894656
2454,2026-03-23,-1675318,14217,-11936,-1673037
2454,2026-03-24,144755,-129246,-105622,-90113
2454,2026-03-25,-843348,-167976,72759,-938565
2454,2026-03-26,-2165766,-338826,7930,-2496662
2454,2026-03-27,545089,-784763,231014,-8660
2454,2026-03-30,-1259054,96186,-2371,-1165239
2454,2026-03-31,313333,-855753,365173,-177247
2454,2026-04-01,-3537117,-62973,135768,-3464322
2454,2026-04-02,-824336,-27277,11239,-840374
2454,2026-04-07,-829177,-686370,125644,-1389903
2454,2026-04-08,-80822,-55480,198720,62418
2454,2026-04-09,-727951,-177842,-79154,-984947
2454,2026-04-10,-1441359,-276294,1819,-1715834
2454,2026-04-13,439446,-525442,10697,-75299
2454,2026-04-14,121190,143063,141961,406214
2454,2026-04-15,4490766,264196,334408,5089370
2454,2026-04-16,1179971,1386202,681145,3247318
2454,2026-04-17,5340296,1283627,148017,6771940
2454,2026-04-20,-45468,169785,-29460,94857
2454,2026-04-21,4321143,1052328,269186,5642657
2454,2026-04-22,-567785,2528018,227466,2187699
2454,2026-04-23,746657,595074,232356,1574087
2454,2026-04-24,828910,1769064,118635,2716609
2454,2026-04-27,143632,565832,162361,871825
2454,2026-04-28,1191234,1214517,-43623,2362128
2454,2026-04-29,-2002739,1374470,-65978,-694247
2454,2026-04-30,1447445,74934,-101228,1421151
2610,2026-02-02,3355749,-754000,105545,2707294
2610,2026-02-03,10108212,-200310,164391,10072293
2610,2026-02-04,9074678,2070000,239717,11384395
2610,2026-02-05,10545298,-46655,-712835,9785808
2610,2026-02-06,4940056,0,-400765,4539291
