id,sid,company_name,publish_date,publish_time,subject,article_no,description,fact_date,url_hash,sent_telegram,sent_discord,fetched_at
2225,6139,亞翔,2026-05-12,91846,代子公司亞翔系統集成科技(蘇州)股份有限公司 公告決議股利配發基準日,第14款,"1.董事會、股東會決議或公司決定日期:115/05/11
2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息
3.發放股利種類及金額:現金股利人民幣352,044,000元
4.除權（息）交易日:NA
5.最後過戶日:NA
6.停止過戶起始日期:NA
7.停止過戶截止日期:NA
8.除權（息）基準日:115/05/18
9.其他應敘明事項:
每股配發現金紅利1.65元(人民幣)
股權登記日：115/05/15
現金紅利發放日：115/05/18",2026-05-11,f174c3d0f33303516d805258a81c5a0d18633e06,0,0,2026-05-12T22:57:52+00:00
2224,6472,保瑞,2026-05-12,63834,依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第二及第四款公告申報,第22款,"1.事實發生日:115/05/11
2.被背書保證之:
(1)公司名稱:Bora Biologics USA LLC
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)背書保證之限額(仟元):76,906,995
(4)原背書保證之餘額(仟元):0
(5)本次新增背書保證之金額(仟元):3,847,113
(6)迄事實發生日止背書保證餘額(仟元):3,847,113
(7)被背書保證公司實際動支金額(仟元):3,847,113
(8)本次新增背書保證之原因:
本公司提供CDMO營運資產購買商業保證
3.被背書保證公司提供擔保品之:
(1)內容:
無
(2)價值(仟元):0
4.被背書保證公司最近期財務報表之:
(1)資本(仟元):0
(2)累積盈虧金額(仟元):0
5.解除背書保證責任之:
(1)條件:
依合約條件
(2)日期:
依合約條件
6.背書保證之總限額(仟元):
76,906,995
7.迄事實發生日為止，背書保證餘額(仟元):
12,013,933
8.迄事實發生日為止，A提供背書保證餘額占公開發行公司最近期財務報表淨值之
比率:
78.11
9.迄事實發生日為止，背書保證、長期投資及資金貸與餘額合計數達該公開發行公
司最近期財務報表淨值之比率:
25.01
10.其他應敘明事項:
無",2026-05-11,77b21aad8b1128f0609fa3abe4118ffddc5cc7c6,0,0,2026-05-12T22:57:52+00:00
2223,6472,保瑞,2026-05-12,63809,公告本公司對子公司背書保證餘額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第一款,第22款,"1.事實發生日:115/05/11
2.背書保證餘額達該公開發行公司最近期財務報表淨值百分之五十以上者:
(1)被背書保證之公司名稱:Bora Biologics USA LLC
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司提供CDMO營運資產購買商業保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):0
(6)迄事實發生日為止背書保證餘額(仟元):3,847,113
(7)被背書保證公司實際動支金額(仟元):3,847,113
(8)本次新增背書保證之金額(仟元):3,847,113
(9)本次新增背書保證之原因:
本公司提供CDMO營運資產購買商業保證
(1)被背書保證之公司名稱:Bora Global Ltd.
(2)與提供背書保證公司之關係:
本公司直接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司為子公司提供融資額度保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):628,100
(6)迄事實發生日為止背書保證餘額(仟元):628,100
(7)被背書保證公司實際動支金額(仟元):0
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
(1)被背書保證之公司名稱:景德製藥股份有限公司
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
為子公司提供融資額度保證
(4)背書保證之限額(仟元):31,055,504
(5)原背書保證之餘額(仟元):260,000
(6)迄事實發生日為止背書保證餘額(仟元):260,000
(7)被背書保證公司實際動支金額(仟元):241,000
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
(1)被背書保證之公司名稱:Upsher-Smith Laboratories, LLC.
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司為子公司提供融資額度保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):2,355,375
(6)迄事實發生日為止背書保證餘額(仟元):2,355,375
(7)被背書保證公司實際動支金額(仟元):0
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
(1)被背書保證之公司名稱:Bora Pharmaceuticals Injectables Inc.
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司提供CDMO營運資產購買商業保證及提供融資保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):1,538,845
(6)迄事實發生日為止背書保證餘額(仟元):1,538,845
(7)被背書保證公司實際動支金額(仟元):942,150
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
(1)被背書保證之公司名稱:Bora Pharmaceutical Service Inc.
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司提供供貨保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):2,756,400
(6)迄事實發生日為止背書保證餘額(仟元):2,756,400
(7)被背書保證公司實際動支金額(仟元):2,756,400
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
(1)被背書保證之公司名稱:Bora Pharmaceuticals Inc.
(2)與提供背書保證公司之關係:
本公司間接持股100%之子公司
(3)迄事實發生日為止背書保證原因:
本公司為子公司提供融資額度保證
(4)背書保證之限額(仟元):76,906,995
(5)原背書保證之餘額(仟元):628,100
(6)迄事實發生日為止背書保證餘額(仟元):628,100
(7)被背書保證公司實際動支金額(仟元):0
(8)本次新增背書保證之金額(仟元):0
(9)本次新增背書保證之原因:
不適用
2.背書保證之總限額(仟元):
76,906,995
3.迄事實發生日為止，背書保證餘額(仟元):
12,013,933
3.迄事實發生日為止，提供背書保證餘額占公開發行公司最近期財務報表淨值之比
率:
78.11
4.其他應敘明事項:
無",2026-05-11,47006fc6bc10e654c00db445a77e0dd59f908290,0,0,2026-05-12T22:57:52+00:00
2222,6472,保瑞,2026-05-12,63602,公告本公司董事會決議對子公司Bora Pharmaceuticals USA Inc.現金增資案,第20款,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
Bora Pharmaceuticals USA Inc.普通股
2.事實發生日:115/5/11~115/5/11
3.董事會通過日期: 民國115年5月11日
4.其他核決日期: 不適用
5.交易數量、每單位價格及交易總金額:
本次對Bora Pharmaceuticals USA Inc.增資美金122,500,000元，全數
作為資本公積投入，不適用交易單位數量及每單位價格。
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
(1)交易相對人: Bora Pharmaceuticals USA Inc.
(2)其與公司之關係: 本公司100%持股之子公司
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依Bora Pharmaceuticals USA Inc.增資計畫時程執行現金增資
12.本次交易之決定方式、價格決定之參考依據及決策單位:
經本公司審計委員會及董事會決議通過
13.取得或處分有價證券標的公司每股淨值:
不適用
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
(1)累積持有數量:500,000股
(2)累積持有金額：17,337,375仟元
(3)持股比例:100%
(4)權利受限情形:無
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
(1)占母公司最近期財務報表中總資產:104.39%
(2)占母公司最近財務報表中歸屬於母公司業主之權益:216.34%
(3)最近期財務報表中營運資金數額:(3,793,203)仟元
16.經紀人及經紀費用:
不適用
17.取得或處分之具體目的或用途:
透過本次現金增資，充實營運
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:是
20.監察人承認或審計委員會同意日期:
民國115年5月11日
21.本次交易會計師出具非合理性意見:不適用
22.會計師事務所名稱:
不適用
23.會計師姓名:
不適用
24.會計師開業證書字號:
不適用
25.是否涉及營運模式變更:是
26.營運模式變更說明:
不適用
27.過去一年及預計未來一年內與交易相對人交易情形:
不適用
28.資金來源:
不適用
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
經115年5月11日審計委員會及董事會決議通過，並授權董事長依一次或分次增資並
全權處理執行增資後續事宜",2026-05-11,8b03ed99513e2605789a59696d4d802154f99c21,0,0,2026-05-12T22:57:52+00:00
2221,6472,保瑞,2026-05-12,63439,本公司透過新設子公司Bora Biologics USA LLC 取得CDMO營運資產,第20款,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
地點位於美國馬里蘭州之CDMO營運資產，包含營業用生產設備、員工
及其受託開發生產等業務
2.事實發生日:115/5/11~115/5/11
3.董事會通過日期: 民國115年5月11日
4.其他核決日期: 不適用
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易單位數量:營業資產一批(含營業用設備、員工及承接既有租賃廠房約139,600
            平方英尺)。
交易總金額:美金122,500,000元(約新台幣3,847,112,500元)
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
MacroGenics, Inc.(NASDAQ:MGNX);非關係人
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依資產收購合約約定，將由本公司100%持有新設公司Bora Biologics USA LLC以現金對價
取得CDMO營運資產，實際交割進度需視當地法規狀況而定，本次交割付款事宜授權董事長
處理。
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
價格決定：參考會計師事務所估價報告書及市場狀況進行投標與議價
決策單位：董事會
12.專業估價者事務所或公司名稱及其估價金額:
專業估價者事務所：立本台灣聯合會計師事務所
估價金額區間：美金119,877仟元～135,627仟元
13.專業估價師姓名:
周志賢
14.專業估價師開業證書字號:
台財證登六字第3209號
15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
16.是否尚未取得估價報告:否或不適用
17.尚未取得估價報告之原因:
不適用
18.估價結果有重大差異時，其差異原因及會計師意見:
不適用
19.會計師事務所名稱:
不適用
20.會計師姓名:
不適用
21.會計師開業證書字號:
不適用
22.經紀人及經紀費用:
不適用
23.取得或處分之具體目的或用途:
加速擴展北美本土商業化量產CDMO業務
24.本次交易表示異議之董事之意見:
無
25.本次交易為關係人交易:否
26.監察人承認或審計委員會同意日期:
民國115年5月11日
27.本次交易係向關係人取得不動產或其使用權資產:否
28.依「公開發行公司取得或處分資產處理準則」第十六條規定
評估之價格:不適用
29.依前項評估之價格較交易價格為低者，依同準則第十七條規
定評估之價格:不適用
30.前已就同一件事件發布重大訊息日期: 不適用
31.其他敘明事項:
無",2026-05-11,59df7fbd74aaafaf43c41d427cd936de4770d32e,0,0,2026-05-12T22:57:52+00:00
2683,6446,藥華藥,2026-05-12,230644,本公司新藥BESREMi（Ropeginterferon alfa-2b）獲 衛福部使用於原發性血小板過多症（ET）核准函,第10款,"1.事實發生日:115/05/12
2.研發新藥名稱或代號:
BESREMi（ropeginterferon alfa-2b，即P1101，中文商品名稱為百斯瑞明）
3.用途:
治療接受hydroxyurea治療後有抗藥性或無耐受性的原發性血小板過多症
成人病人
4.預計進行之所有研發階段:不適用。
5.目前進行中之研發階段(請說明目前之研發階段係屬提出申請/通過核准/
不通過核准，若未通過者，請說明公司所面臨之風險及因應措施；
另請說明未來經營方向及已投入累積研發費用):
(1)提出申請/通過核准/不通過核准/各期人體試驗(含期中分析)結果/發生其他
   影響新藥研發之重大事件：
   本公司新藥百斯瑞明針筒裝注射液劑500微克/毫升（Besremi 500 mcg/mL
   solution for injection in prefilled syringe）獲台灣衛生福利部（以下簡稱
   衛福部）使用於原發性血小板過多症（ET）核准函，核定新增適應症為治療接
   受hydroxyurea治療後有抗藥性或無耐受性的原發性血小板過多症成人病人。
(2)未通過目的事業主管機關許可、各期人體臨床試驗(含期中分析)結果未達統計
   上顯著意義或發生其他影響新藥研發之重大事件者，公司所面臨之風險及因應
   措施：不適用。
(3)已通過目的事業主管機關許可、各期人體臨床試驗(含期中分析)結果達統計上
   顯著意義或發生其他影響新藥研發之重大事件者，未來經營方向：
   本公司將向衛福部中央健康保險署申請將BESREMi用於原發性血小板過多症納入
   健保給付，並持續進行BESREMi之銷售業務及行銷活動
(4)已投入之累積研發費用：
   考量未來市場行銷策略，保障公司及投資人權益，暫不公開揭露。
6.將再進行之下一階段研發(請說明預計完成時間及預計應負擔之義務):不適用。
(1)預計完成時間：不適用。
(2)預計應負擔之義務：無。
7.市場現況:
原發性血小板過多症（essential thrombocythemia, ET）為骨髓增生性腫瘤
（myeloproliferative neoplasms, MPN）疾病的一種，病人數與真性紅血球
增多症（polycythemia vera, PV）的病人數相近。根據臺灣健保資料庫研究，
臺灣約有4,500名ET患者（每10萬人中約有20名ET患者）。目前ET的第一線用
藥是仿單標示外的hydroxyurea（HU），第二線用藥則是安閣靈（anagrelide）
，此藥係美國FDA於1997年核准。
8.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第8款所定
對股東權益或證券價格有重大影響之事項):
(1)Ropeginterferon alfa-2b已於2020年獲衛福部核准用於治療不具症狀性脾
   腫大之成人真性紅血球增多症病人，並於2022年獲衛福部健保署核准納入
   健保給付。
(2)Ropeginterferon alfa-2b為本公司自行研發生產之新一代創新長效型干擾
   素，至今已獲全球約50個國家核准用於成人真性紅血球增多症患者，包括
   美國、日本、中國及歐盟等主要新藥市場。
9.新藥開發時程長、投入經費高且未保證一定能成功，此等可能使投資面臨風險，投
   資人應審慎判斷謹慎投資。:",2026-05-12,68aae1372f6533ac13133027cf419b535454f088,1,1,2026-05-12T22:57:52+00:00
2682,6869,雲豹能源,2026-05-12,230353,依公開發行公司資金貸與及背書保證處理準則第二十五條 第一項第四款，公告本公司董事會通過為他人背書或提供 保證事項,第22款,"1.事實發生日:115/05/12
2.被背書保證之:
(1)公司名稱:築日能源股份有限公司
(2)與提供背書保證公司之關係:
本公司之子公司
(3)背書保證之限額(仟元):11,007,153
(4)原背書保證之餘額(仟元):853,291
(5)本次新增背書保證之金額(仟元):380,000
(6)迄事實發生日止背書保證餘額(仟元):1,233,291
(7)被背書保證公司實際動支金額(仟元):853,291
(8)本次新增背書保證之原因:
配合子公司銀行融資提供保證
(1)公司名稱:台福宜號能源股份有限公司
(2)與提供背書保證公司之關係:
本公司之子公司
(3)背書保證之限額(仟元):11,007,153
(4)原背書保證之餘額(仟元):0
(5)本次新增背書保證之金額(仟元):700,000
(6)迄事實發生日止背書保證餘額(仟元):700,000
(7)被背書保證公司實際動支金額(仟元):0
(8)本次新增背書保證之原因:
配合子公司營運所需提供保證
3.被背書保證公司提供擔保品之:
(1)內容:
無
(2)價值(仟元):0
4.被背書保證公司最近期財務報表之:
(1)資本(仟元):89,000
(2)累積盈虧金額(仟元):-70,576
5.解除背書保證責任之:
(1)條件:
全數債務清償或達成其他解除保證責任之條件
(2)日期:
全數債務清償之日或其他解除保證責任條件已達成之日期
6.背書保證之總限額(仟元):
17,611,444
7.迄事實發生日為止，背書保證餘額(仟元):
7,201,319
8.迄事實發生日為止，A提供背書保證餘額占公開發行公司最近期財務報表淨值之
比率:
163.56
9.迄事實發生日為止，背書保證、長期投資及資金貸與餘額合計數達該公開發行公
司最近期財務報表淨值之比率:
29.57
10.其他應敘明事項:
*被背書保證公司實際動支金額係115/04/30實際動支之餘額
*最近期財務報表係115/03經會計師核閱之報告
*被背書保證公司最近期財務報表之資本及累積盈虧金額分別列示如下
築日能源:資本額 88,000仟元;累積盈虧 -70,415仟元
台福宜號:資本額  1,000仟元;累積盈虧    -161仟元",2026-05-12,24e007215bf57002b17c759497b43fca1db0a149,0,0,2026-05-12T22:57:52+00:00
2681,6869,雲豹能源,2026-05-12,225043,公告本公司董事會決議參與子公司台福宜號能源(股)公司增資案,第20款,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
台福宜號能源(股)公司之普通股
2.事實發生日:115/5/12~115/5/12
3.董事會通過日期: 民國115年5月12日
4.其他核決日期: 不適用
5.交易數量、每單位價格及交易總金額:
交易單位數量：普通股不超過70,000,000股
每單位價格：每股新臺幣10元
交易總金額：不超過新臺幣700,000,000元
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
台福宜號能源(股)公司，本公司之子公司
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
子公司現金增資
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依台福宜號能源(股)公司增資繳款時程
12.本次交易之決定方式、價格決定之參考依據及決策單位:
每股按面額新臺幣10元及本公司董事會決議
13.取得或處分有價證券標的公司每股淨值:
8.32元
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
數量：不超過70,100,000股(包含初始設立股數)
金額：不超過新臺幣701,000仟元
持股比例：100%
權利受限情形(如質押情形）：無
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產之比例：8.89%
占權益之比例：15.92%
營運資金數額:新台幣(2,180,743)仟元
16.經紀人及經紀費用:
無
17.取得或處分之具體目的或用途:
可創造長期穩定收益，擴大整體營運規模發揮規模經濟綜效
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:是
20.監察人承認或審計委員會同意日期:
民國115年5月12日
21.本次交易會計師出具非合理性意見:不適用
22.會計師事務所名稱:
不適用
23.會計師姓名:
不適用
24.會計師開業證書字號:
不適用
25.是否涉及營運模式變更:否
26.營運模式變更說明:
不適用
27.過去一年及預計未來一年內與交易相對人交易情形:
不適用
28.資金來源:
不適用
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
若基於營運評估或其他因素致增資計畫變更時，擬提請董事會授權
董事長於不超過新台幣700,000仟元內辦理，後提董事會報告。",2026-05-12,bdde4965748e83b8bc56a481a5647099609738d4,0,0,2026-05-12T22:57:52+00:00
2680,6869,雲豹能源,2026-05-12,225020,公告本公司董事會決議透過子公司台福宜號能源(股)公司取得兆洋(股)公司之股權案,第20款,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
兆洋(股)公司之100%股權
2.事實發生日:115/5/12~115/5/12
3.董事會通過日期: 民國115年5月12日
4.其他核決日期: 不適用
5.交易數量、每單位價格及交易總金額:
交易單位數量：115,300,000股
交易每單位價格及交易總金額：每股不高於新台幣5.94元，
總金額不高於新台幣685,000仟元取得英商GRP II Taiwan UK Limited
持有兆洋(股)公司之100%股權
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
英商GRP II Taiwan UK Limited，非關係人
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依合約規定
12.本次交易之決定方式、價格決定之參考依據及決策單位:
價格之決定係參考獨立專家意見，並經董事會決議
13.取得或處分有價證券標的公司每股淨值:
8.26元
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
數量：115,300,000股
金額：擬以總金額不高於新台幣685,000仟元取得GRP II Taiwan UK Limited
持有兆洋(股)公司之100%股權。
持股比例：100%
權利受限情形(如質押情形）：無
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產之比例：8.69%
占權益之比例：15.56%
營運資金數額:新台幣(2,180,743)仟元
16.經紀人及經紀費用:
無
17.取得或處分之具體目的或用途:
可創造長期穩定收益，擴大整體營運規模發揮規模經濟綜效
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:否
20.監察人承認或審計委員會同意日期:
民國115年5月12日
21.本次交易會計師出具非合理性意見:否
22.會計師事務所名稱:
博頌會計師事務所
23.會計師姓名:
余良元
24.會計師開業證書字號:
金管會證字第6600號
25.是否涉及營運模式變更:否
26.營運模式變更說明:
不適用
27.過去一年及預計未來一年內與交易相對人交易情形:
不適用
28.資金來源:
不適用
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
(1)本公司擬透過子公司台福宜號(股)公司取得英商GRP II Taiwan UK Limited
持有兆洋(股)公司之100%股權，於實際交割前由本公司對台福宜號(股)公司
進行相關交易價款之增資。
(2)本公司擬以不超過新台幣700,000仟元參與前揭增資計畫。
(3)待相關交易先決條件滿足後與GRP II Taiwan UK Limited進行股權交割。
(4)公告未盡事項待實際交割日再補充公告。",2026-05-12,6983cd64b74bbf04d3591b3c53d031b849a66c62,0,0,2026-05-12T22:57:52+00:00
2679,6869,雲豹能源,2026-05-12,224921,公告本公司董事會決議發行國內第二次有擔保轉換公司債,第11款,"1.董事會決議日期:115/05/12
2.名稱﹝XX公司第X次（有、無）擔保公司債﹞:
雲豹能源科技股份有限公司國內第二次有擔保轉換公司債
3.是否採總括申報發行公司債(是/否):否
4.發行總額:發行總面額上限為新臺幣壹拾捌億元整
5.每張面額:新臺幣壹拾萬元整
6.發行價格:暫定以不低於面額發行，實際總發行金額依競價拍
賣結果而定，底標以不低於面額為限
7.發行期間:三年
8.發行利率:票面利率0%
9.擔保品之種類、名稱、金額及約定事項:
依據委任銀行保證契約約定
10.募得價款之用途及運用計畫:償還銀行借款、充實營運資金
11.承銷方式:採競價拍賣方式辦理公開承銷
12.公司債受託人:凱基商業銀行股份有限公司
13.承銷或代銷機構:凱基證券股份有限公司
14.發行保證人:永豐商業銀行股份有限公司
15.代理還本付息機構:本公司股務代理機構
16.簽證機構:本次公司債採無實體發行，故不適用
17.能轉換股份者，其轉換辦法:轉換辦法將依有關法令規定辦理
，並報請相關主管機關核准後另行公告
18.賣回條件:轉換辦法將依有關法令規定辦理，並報請相關主管
機關核准後另行公告
19.買回條件:轉換辦法將依有關法令規定辦理，並報請相關主管
機關核准後另行公告
20.附有轉換、交換或認股者，其換股基準日:轉換辦法將依有關
法令規定辦理，並報請相關主管機關核准後另行公告
21.附有轉換、交換或認股者，對股權可能稀釋情形:
轉換辦法將依有關法令規定辦理，並報請相關主管機關核准後另
行公告
22.其他應敘明事項:為掌握訂定發行條件及實際發行作業時效，
本次發行國內第二次有擔保轉換公司債之重要內容，包含發行金
額、發行條件、發行及轉換辦法之訂定，以及計畫所需資金總額
、資金來源、計畫項目、資金運用進度、預計可能產生效益及其
他相關事宜，如遇有法令變更、經主管機關修正、或有未盡事宜
、或因應主客觀環境需修訂或修正時，擬授權董事長全權處理之
，並得代表本公司簽署一切有關之契約及文件，及代表本公司辦
理相關發行事宜。",2026-05-12,4e9382968ac645345e621ab2900d1af17d54c7f9,0,0,2026-05-12T22:57:52+00:00
