pick_date,sid,strategy,entry_close,return_d1,return_d3,return_d5,return_d10,hit_target,stopped_out,evaluated_at
2026-05-14,00625K,gap_up,,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00625K,volume_breakout,,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00634R,bb_lower_rebound,3.02,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00643K,gap_up,,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00643K,volume_breakout,,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00648R,bias_convergence,4.02,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00651R,bias_convergence,5.08,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00666R,bias_convergence,8.75,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00686R,macd_golden,1.12,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00694B,bias_convergence,41.5,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00694B,macd_golden,41.5,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00695B,bias_convergence,35.0,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00696B,bias_convergence,28.66,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00697B,bias_convergence,35.52,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00706L,bias_convergence,19.58,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00712,bias_convergence,8.89,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00714,bias_convergence,21.43,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00722B,bias_convergence,35.75,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00723B,bias_convergence,30.59,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00724B,bias_convergence,33.6,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00724B,macd_golden,33.6,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00756B,bias_convergence,31.53,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00764B,bias_convergence,27.61,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00768B,bias_convergence,50.25,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00772B,bias_convergence,33.59,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00777B,bias_convergence,32.51,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00780B,bias_convergence,37.48,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00786B,bias_convergence,32.81,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00786B,macd_golden,32.81,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00793B,bias_convergence,30.61,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00795B,bias_convergence,26.83,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00841B,bb_lower_rebound,28.96,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00857B,bias_convergence,22.99,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00862B,bias_convergence,31.69,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00862B,macd_golden,31.69,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00903,volume_breakout,21.73,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00931B,bias_convergence,13.31,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00942B,bias_convergence,14.3,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00950B,bb_lower_rebound,14.01,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00950B,bias_convergence,14.01,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00967B,bias_convergence,9.04,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00970B,bias_convergence,9.36,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,009807,volume_breakout,15.89,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,009817,bias_convergence,9.05,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00981D,macd_golden,10.36,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00982B,bias_convergence,9.81,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00982D,bias_convergence,9.96,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00982D,macd_golden,9.96,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00984B,bias_convergence,16.27,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00984D,bias_convergence,10.05,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,00987B,bias_convergence,16.02,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,01002T,bias_convergence,14.12,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,01004T,bias_convergence,10.7,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,02001L,ma_alignment,125.45,,,,,,,2026-05-14T23:51:31+00:00
2026-05-14,020027,gap_up,11.46,,,,,,,2026-05-14T23:51:31+00:00
