pick_date,sid,strategy,top_features,generated_at
2026-05-15,00679B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4879560086247543, ""contribution"": -0.03682438245183915, ""contribution_pct"": 21.1, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.06660854053079279, ""contribution"": -0.03463057855931236, ""contribution_pct"": 19.9, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.17920542350534063, ""contribution"": -0.030910887199132566, ""contribution_pct"": 17.7, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00687B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.49442077428815784, ""contribution"": -0.038236713673670965, ""contribution_pct"": 18.3, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.06200928860420424, ""contribution"": -0.03534079438551918, ""contribution_pct"": 16.9, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.19299054126333104, ""contribution"": -0.033210301350332885, ""contribution_pct"": 15.9, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00694B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.3373979133368741, ""contribution"": -0.0687075867548209, ""contribution_pct"": 37.9, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": 0.018619992706482014, ""contribution"": -0.03191958973889976, ""contribution_pct"": 17.6, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 1.2242332830568126, ""contribution"": -0.028874963816458314, ""contribution_pct"": 15.9, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00695B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.3236579815758817, ""contribution"": -0.0519101507108221, ""contribution_pct"": 31.2, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.027774118045154172, ""contribution"": -0.02606687223752075, ""contribution_pct"": 15.7, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.19923840250261549, ""contribution"": -0.025901913295324278, ""contribution_pct"": 15.6, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00719B,macd_golden,"[{""feature"": ""atr_normalized"", ""value"": 0.3372570855137297, ""contribution"": -0.09482719811466978, ""contribution_pct"": 35.0, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": 0.0008506674729260033, ""contribution"": -0.07716092121578604, ""contribution_pct"": 28.5, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 0.9272102888694363, ""contribution"": -0.024937374198236884, ""contribution_pct"": 9.2, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00720B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4874681485321022, ""contribution"": -0.036620692357434426, ""contribution_pct"": 17.2, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.21510305512153066, ""contribution"": -0.03307133278775114, ""contribution_pct"": 15.5, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.04559102856731606, ""contribution"": -0.03270958090937481, ""contribution_pct"": 15.4, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00723B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.41987055484085223, ""contribution"": -0.06287927875332405, ""contribution_pct"": 27.6, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.025732174222050652, ""contribution"": -0.04589356712724782, ""contribution_pct"": 20.2, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.17104774795886968, ""contribution"": -0.03658992147600107, ""contribution_pct"": 16.1, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00724B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4314352156087695, ""contribution"": -0.06784953609539672, ""contribution_pct"": 30.6, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.0010496499590013086, ""contribution"": -0.03327794242583125, ""contribution_pct"": 15.0, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.15560687869366063, ""contribution"": -0.028635005951013783, ""contribution_pct"": 12.9, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00725B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4572031924096965, ""contribution"": -0.05453993566969622, ""contribution_pct"": 28.7, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.019768458230891517, ""contribution"": -0.036589974570529586, ""contribution_pct"": 19.3, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.21956569160117645, ""contribution"": -0.03119643896367031, ""contribution_pct"": 16.4, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
2026-05-15,00726B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4497453228292666, ""contribution"": -0.05807291831728267, ""contribution_pct"": 24.1, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.08737363295811257, ""contribution"": -0.04203581553083043, ""contribution_pct"": 17.4, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.17419484121201378, ""contribution"": -0.03817030306183033, ""contribution_pct"": 15.8, ""direction"": ""-""}]",2026-05-16T22:48:13+00:00
