sid,week_end,holders_1000up_count,total_holders,holders_pct,holders_delta_w,fetched_at
000218,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
000560,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
000708,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
000779,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
000815,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
000856,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
00400A,2026-05-08,111637,223198,0.5001702524216167,,2026-05-12T00:06:58+00:00
00401A,2026-05-08,18548,37072,0.5003236944324557,,2026-05-12T00:06:58+00:00
00403A,2026-05-08,2,2,1.0,,2026-05-12T00:06:58+00:00
0050,2026-05-08,2814958,5629443,0.5000420112611497,,2026-05-12T00:06:58+00:00
0051,2026-05-08,12005,24008,0.5000416527824059,,2026-05-12T00:06:58+00:00
0052,2026-05-08,447001,893871,0.5000732767927363,,2026-05-12T00:06:58+00:00
0053,2026-05-08,2895,5788,0.5001727712508639,,2026-05-12T00:06:58+00:00
0055,2026-05-08,11063,22118,0.5001808481779546,,2026-05-12T00:06:58+00:00
0056,2026-05-08,1547049,3093802,0.5000478375797804,,2026-05-12T00:06:58+00:00
0057,2026-05-08,638,1276,0.5,,2026-05-12T00:06:58+00:00
0061,2026-05-08,6610,13210,0.5003785011355034,,2026-05-12T00:06:58+00:00
006201,2026-05-08,3105,6206,0.500322268772156,,2026-05-12T00:06:58+00:00
006203,2026-05-08,1145,2286,0.5008748906386702,,2026-05-12T00:06:58+00:00
006204,2026-05-08,1132,2264,0.5,,2026-05-12T00:06:58+00:00
006205,2026-05-08,9603,19190,0.5004168837936426,,2026-05-12T00:06:58+00:00
006206,2026-05-08,3448,6892,0.5002901915264074,,2026-05-12T00:06:58+00:00
006207,2026-05-08,1612,3222,0.500310366232154,,2026-05-12T00:06:58+00:00
006208,2026-05-08,680305,1360522,0.5000323405281208,,2026-05-12T00:06:58+00:00
00625K,2026-05-08,13,26,0.5,,2026-05-12T00:06:58+00:00
00631L,2026-05-08,175231,350011,0.5006442654659425,,2026-05-12T00:06:58+00:00
00632R,2026-05-08,63410,126441,0.5014987227244327,,2026-05-12T00:06:58+00:00
00633L,2026-05-08,3876,7716,0.5023328149300156,,2026-05-12T00:06:58+00:00
00634R,2026-05-08,830,1646,0.5042527339003645,,2026-05-12T00:06:58+00:00
00635U,2026-05-08,59540,119046,0.5001428019421064,,2026-05-12T00:06:58+00:00
00636,2026-05-08,8903,17792,0.5003934352517986,,2026-05-12T00:06:58+00:00
00636K,2026-05-08,9,18,0.5,,2026-05-12T00:06:58+00:00
