stock_id,warning_type,announced_date,effective_from,effective_to,reason,source_url,fetched_at
1213,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
1538,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
1591,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價跌幅達30.33%(第一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
2314,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法:分盤集合競價,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
2321,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
2380,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法:分盤集合競價,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
2911,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
3018,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法:分盤集合競價,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
3064,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
3131,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣315元(第十一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
31351,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達26.26%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣62元(第一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3163,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣140元(第十一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3466,attention,2026-05-18,2026-05-18,,最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.04%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為8倍(第十二款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3491,attention,2026-05-18,2026-05-18,,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達170.4%(第二款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3498,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達45.79%(第一款)當日週轉率達15.75%(第四款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3498,disposition,2026-05-18,2026-05-19,2026-06-01,因連續3個營業日達本中心作業要點第四條第一項第一款,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-05-18T12:49:00+00:00
3508,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
3577,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達29.5%，凱基證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為42.76%(第五款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3593,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
3624,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達36.41%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.4倍(第三款)當日週轉率達21.25%(第四款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3629,method_changed,2026-05-18,2026-05-18,,變更交易方法 / 分盤交易,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
3632,method_changed,2026-05-18,2026-05-18,,變更交易方法 / 分盤交易,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
3664,method_changed,2026-05-18,2026-05-18,,變更交易方法 / 分盤交易,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
36805,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達33.04%(第一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
3710,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
4163,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達27.17%，當日之成交量較最近六十個營業日日平均成交量放大11.88倍(第三款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
4529,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
4609,method_changed,2026-05-18,2026-05-18,,變更交易方法 / 分盤交易,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
4804,full_cash,2026-05-18,2026-05-18,,停止交易,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
4943,method_changed,2026-05-18,2026-05-18,,TWSE 變更交易方法:分盤集合競價,https://openapi.twse.com.tw/v1/exchangeReport/TWT85U,2026-05-18T12:49:00+00:00
4971,attention,2026-05-18,2026-05-18,,當日本益比為140.67、股價淨值比為13.68且為其所屬產業類別股價淨值比之2.63倍、當日週轉率達5.61%(第六款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
4971,disposition,2026-05-18,2026-05-19,2026-06-01,連續5個營業日,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-05-18T12:49:00+00:00
5274,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣1675元(第十一款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
5291,attention,2026-05-18,2026-05-18,,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達167.03%(第二款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
5301,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
5355,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
5392,attention,2026-05-18,2026-05-18,,最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.39%，當日之前一個營業日當日沖銷成交量占總成交量達70.39%（第十三款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
5701,method_changed,2026-05-18,2026-05-18,,變更交易方法,https://www.tpex.org.tw/openapi/v1/tpex_cmode,2026-05-18T12:49:00+00:00
6173,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達33.07%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達190.71%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達164.33%(第二款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
6207,attention,2026-05-18,2026-05-18,,最近六個營業日(含當日)累積之最後成交價漲幅達30.11%(第一款)當日之成交量較最近六十個營業日日平均成交量放大8.5倍(第三款)當日週轉率達49.66%(第四款),https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-05-18T12:49:00+00:00
