strategy,period_end,lookback_days,target_pct,stop_pct,hold_days,n_fires,n_wins,win_rate,avg_return,computed_at
ma_squeeze_breakout,2026-05-18,126,0.05,0.03,5,1,1,1.0,0.000811546527349845,2026-05-18T17:25:18+00:00
volume_kd,2026-05-18,126,0.05,0.03,5,10,6,0.6,0.014803011620258332,2026-05-18T17:25:18+00:00
gap_up,2026-05-18,126,0.05,0.03,5,1621,811,0.500308451573103,,2026-05-18T17:25:18+00:00
ma_alignment,2026-05-18,126,0.05,0.03,5,102,48,0.47058823529411764,0.0018271631540286593,2026-05-18T17:25:18+00:00
big_holder_inflow,2026-05-18,126,0.05,0.03,5,6265,2742,0.43766959297685554,-0.0011808260662699724,2026-05-18T17:25:18+00:00
macd_golden,2026-05-18,126,0.05,0.03,5,929,401,0.4316469321851453,,2026-05-18T17:25:18+00:00
volume_breakout,2026-05-18,126,0.05,0.03,5,2262,955,0.42219274977895666,,2026-05-18T17:25:18+00:00
inst_oversold_reversal,2026-05-18,126,0.05,0.03,5,158,60,0.379746835443038,-0.004445901109770647,2026-05-18T17:25:18+00:00
taiex_alpha,2026-05-18,126,0.05,0.03,5,8797,3086,0.3508014095714448,,2026-05-18T17:25:18+00:00
inst_silent_accum,2026-05-18,126,0.05,0.03,5,58,20,0.3448275862068966,-0.007213304219218172,2026-05-18T17:25:18+00:00
bb_lower_rebound,2026-05-18,126,0.05,0.03,5,575,192,0.3339130434782609,,2026-05-18T17:25:18+00:00
bias_convergence,2026-05-18,126,0.05,0.03,5,9459,3108,0.32857595940374246,,2026-05-18T17:25:18+00:00
inst_consensus,2026-05-18,126,0.05,0.03,5,35,11,0.3142857142857143,-0.002516530244289427,2026-05-18T17:25:18+00:00
rsi_recovery,2026-05-18,126,0.05,0.03,5,244,65,0.26639344262295084,,2026-05-18T17:25:18+00:00
revenue_announce_anticipation,2026-05-18,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-18T17:25:18+00:00
ex_dividend_swing,2026-05-18,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-18T17:25:18+00:00
revenue_acceleration,2026-05-18,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-18T17:25:18+00:00
high_yield_stable,2026-05-18,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-18T17:25:18+00:00
eps_acceleration,2026-05-18,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-18T17:25:18+00:00
ma_squeeze_breakout,2026-05-11,126,0.05,0.03,5,1,1,1.0,0.0076687116564417,2026-05-11T16:58:43+00:00
volume_kd,2026-05-11,126,0.05,0.03,5,3,2,0.6666666666666666,0.0073789173789173,2026-05-11T16:58:43+00:00
ma_alignment,2026-05-11,126,0.05,0.03,5,51,31,0.6078431372549019,0.0133730269647081,2026-05-11T16:58:43+00:00
inst_consensus,2026-05-11,126,0.05,0.03,5,32,17,0.53125,0.0072420525003311,2026-05-11T16:58:43+00:00
gap_up,2026-05-11,126,0.05,0.03,5,2328,1169,0.502147766323024,0.0094040038119946,2026-05-11T16:58:43+00:00
macd_golden,2026-05-11,126,0.05,0.03,5,741,367,0.49527665317139,0.0075944881505007,2026-05-11T16:58:43+00:00
inst_silent_accum,2026-05-11,126,0.05,0.03,5,56,26,0.4642857142857143,0.0009597333421121,2026-05-11T16:58:43+00:00
inst_oversold_reversal,2026-05-11,126,0.05,0.03,5,133,60,0.4511278195488721,0.0019686863874927,2026-05-11T16:58:43+00:00
volume_breakout,2026-05-11,126,0.05,0.03,5,1872,821,0.438568376068376,0.0045947710420635,2026-05-11T16:58:43+00:00
bias_convergence,2026-05-11,126,0.05,0.03,5,7987,3272,0.4096657067735069,0.0002720362012513,2026-05-11T16:58:43+00:00
bb_lower_rebound,2026-05-11,126,0.05,0.03,5,1002,379,0.3782435129740519,-0.0006366679919972,2026-05-11T16:58:43+00:00
taiex_alpha,2026-05-11,126,0.05,0.03,5,8020,2893,0.3607231920199501,,2026-05-11T16:58:43+00:00
rsi_recovery,2026-05-11,126,0.05,0.03,5,213,64,0.3004694835680751,,2026-05-11T16:58:43+00:00
eps_acceleration,2026-05-11,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-11T16:58:43+00:00
high_yield_stable,2026-05-11,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-11T16:58:43+00:00
revenue_acceleration,2026-05-11,126,0.05,0.03,5,0,0,0.0,0.0,2026-05-11T16:58:43+00:00
ma_squeeze_breakout,2026-05-08,126,0.05,0.03,5,1,1,1.0,0.0076687116564417,2026-05-11T07:07:42+00:00
volume_kd,2026-05-08,126,0.05,0.03,5,3,2,0.6666666666666666,0.0073789173789173,2026-05-11T07:07:42+00:00
ma_alignment,2026-05-08,126,0.05,0.03,5,51,31,0.6078431372549019,0.0133730269647081,2026-05-11T07:07:42+00:00
inst_consensus,2026-05-08,126,0.05,0.03,5,32,17,0.53125,0.0072420525003311,2026-05-11T07:07:42+00:00
gap_up,2026-05-08,126,0.05,0.03,5,2322,1165,0.5017226528854436,0.0093680107124562,2026-05-11T07:07:42+00:00
macd_golden,2026-05-08,126,0.05,0.03,5,731,364,0.4979480164158686,0.0077394195889481,2026-05-11T07:07:42+00:00
inst_silent_accum,2026-05-08,126,0.05,0.03,5,56,26,0.4642857142857143,0.0009597333421121,2026-05-11T07:07:42+00:00
inst_oversold_reversal,2026-05-08,126,0.05,0.03,5,133,60,0.4511278195488721,0.0019686863874927,2026-05-11T07:07:42+00:00
volume_breakout,2026-05-08,126,0.05,0.03,5,1855,813,0.4382749326145552,0.0045667985933923,2026-05-11T07:07:42+00:00
bias_convergence,2026-05-08,126,0.05,0.03,5,7951,3259,0.4098855489875487,0.0002768865737934,2026-05-11T07:07:42+00:00
bb_lower_rebound,2026-05-08,126,0.05,0.03,5,986,375,0.3803245436105477,-0.000492013585863,2026-05-11T07:07:42+00:00
