stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
TAIEX,2025-10-15,26911.05,27275.71,26773.15,27275.71,8387861014,521429411299.0,3394353,482.56
TAIEX,2025-10-16,27337.32,27732.78,27337.32,27647.87,9035460141,565481652363.0,3459021,372.16
TAIEX,2025-10-17,27399.91,27513.09,27302.37,27302.37,8962849575,556452817043.0,3811384,-345.5
TAIEX,2025-10-20,27480.44,27768.27,27412.45,27688.63,8045886081,498961206376.0,3374485,386.26
TAIEX,2025-10-21,27742.55,27969.05,27742.55,27752.41,8507303277,528880140832.0,3656829,63.78
TAIEX,2025-10-22,27614.11,27725.83,27490.89,27648.91,7835590935,463157561102.0,3409615,-103.5
TAIEX,2025-10-23,27457.07,27586.85,27371.67,27532.26,7318554768,434561455546.0,3223519,-116.65
TAIEX,2025-10-27,28029.88,28196.33,27993.63,27993.63,9337097751,564293629882.0,3731394,461.37
TAIEX,2025-10-28,28041.01,28087.93,27885.62,27949.11,8579810711,555663566461.0,3915558,-44.52
TAIEX,2025-10-29,28157.91,28395.31,28139.65,28294.74,9076231278,594219629472.0,3840769,345.63
TAIEX,2025-10-30,28350.24,28527.68,28116.6,28287.53,9446378341,633558030252.0,4261236,-7.21
TAIEX,2025-10-31,28280.47,28489.76,28233.35,28233.35,8339995492,576144513446.0,3685497,-54.18
TAIEX,2025-11-03,28253.53,28494.99,28150.45,28334.59,8299689369,581496914983.0,3801445,101.24
TAIEX,2025-11-04,28364.76,28554.61,28033.62,28116.56,8404740088,604283395876.0,3961004,-218.03
TAIEX,2025-11-05,27785.91,27799.09,27373.05,27717.06,8989778518,619346788683.0,4143624,-399.5
TAIEX,2025-11-06,27906.44,28061.53,27879.7,27899.45,7863001986,514272235406.0,3191145,182.39
TAIEX,2025-11-07,27818.54,27818.54,27621.48,27651.41,7878592276,486727226387.0,3660081,-248.04
TAIEX,2025-11-10,27805.47,27976.89,27680.51,27869.51,7491028505,504213278890.0,3251620,218.1
TAIEX,2025-11-11,28031.54,28187.7,27784.95,27784.95,8924063428,584494820328.0,3913468,-84.56
TAIEX,2025-11-12,27853.47,28071.76,27799.92,27947.09,8954069218,576091990790.0,3816761,162.14
TAIEX,2025-11-13,27867.59,28038.24,27811.81,27903.56,10545273898,674189961874.0,4546715,-43.53
TAIEX,2025-11-14,27816.45,27816.45,27383.34,27397.5,9939352945,614575227909.0,4948433,-506.06
TAIEX,2025-11-17,27600.74,27723.77,27447.31,27447.31,8604107358,547722102923.0,3814397,49.81
TAIEX,2025-11-18,27310.4,27310.4,26756.12,26756.12,10450443082,672757035089.0,5492551,-691.19
TAIEX,2025-11-19,26708.28,26902.97,26580.12,26580.12,8069342681,516180089038.0,3919396,-176.0
TAIEX,2025-11-20,27212.91,27493.63,27183.03,27426.36,8497528679,592368253864.0,3468629,846.24
TAIEX,2025-11-21,26821.97,26821.97,26395.98,26434.94,8853582470,581860848616.0,4474744,-991.42
TAIEX,2025-11-24,26596.03,26764.13,26482.33,26504.24,9236525911,749163116671.0,2934302,69.3
TAIEX,2025-11-25,26995.9,27118.02,26793.71,26912.17,6714625759,490750703418.0,2858521,407.93
TAIEX,2025-11-26,27063.17,27409.54,27063.17,27409.54,7902773415,523531629362.0,3189083,497.37
TAIEX,2025-11-27,27517.24,27659.06,27436.59,27554.53,7539156843,506517208172.0,2947049,144.99
TAIEX,2025-11-28,27566.12,27796.9,27566.12,27626.48,7671742311,489885964092.0,2985445,71.95
TAIEX,2025-12-01,27674.16,27697.06,27342.53,27342.53,7418235597,493440574126.0,3283316,-283.95
TAIEX,2025-12-02,27550.35,27741.89,27477.1,27564.27,7321099919,486538825279.0,3003839,221.74
TAIEX,2025-12-03,27605.63,27847.67,27605.63,27793.04,6838633055,457284590648.0,2825733,228.77
TAIEX,2025-12-04,27773.42,27880.23,27636.63,27795.71,6475222009,397985953488.0,2684178,2.67
TAIEX,2025-12-05,27796.43,27980.89,27738.5,27980.89,6781520261,457238821346.0,2968196,185.18
TAIEX,2025-12-08,28034.0,28303.78,28026.39,28303.78,7603908443,438297179091.0,3111236,322.89
TAIEX,2025-12-09,28364.04,28390.24,28157.27,28182.6,8116345692,524525111897.0,3654191,-121.18
TAIEX,2025-12-10,28190.76,28417.09,28190.76,28400.73,8239950462,509141432257.0,3681759,218.13
TAIEX,2025-12-11,28385.23,28568.02,27984.19,28024.75,8087246896,537128803314.0,3741874,-375.98
TAIEX,2025-12-12,28097.54,28272.06,28071.34,28198.02,8508400161,488652979581.0,3461174,173.27
TAIEX,2025-12-15,28119.79,28119.79,27684.87,27866.94,7855274707,451740486315.0,3557639,-331.08
TAIEX,2025-12-16,27721.1,27740.66,27355.67,27536.66,9586999810,547186167710.0,4338142,-330.28
TAIEX,2025-12-17,27596.18,27780.69,27469.6,27525.17,9020647323,524829243071.0,3677384,-11.49
TAIEX,2025-12-18,27447.45,27569.44,27350.77,27468.53,8450315748,460035955277.0,3339942,-56.64
TAIEX,2025-12-19,27685.74,27869.78,27672.05,27696.35,9145168124,568327509178.0,2974397,227.82
TAIEX,2025-12-22,27986.66,28168.75,27986.66,28149.64,8984157012,504472490831.0,3141900,453.29
TAIEX,2025-12-23,28253.14,28350.37,28212.84,28310.47,7965662925,431994260374.0,3146495,160.83
TAIEX,2025-12-24,28383.61,28486.38,28280.59,28371.98,7899870510,439061668896.0,3162529,61.51
TAIEX,2025-12-26,28443.48,28590.91,28404.34,28556.02,8084220373,443994479984.0,3225756,184.04
TAIEX,2025-12-29,28662.79,28841.64,28595.35,28810.89,8569606301,469061962836.0,3414921,254.87
TAIEX,2025-12-30,28723.82,28833.03,28553.64,28707.13,8876360103,469871782250.0,3499456,-103.76
TAIEX,2025-12-31,28723.49,29009.81,28687.9,28963.6,9768832777,548425314258.0,3825873,256.47
TAIEX,2026-01-02,29016.68,29363.43,29007.75,29349.81,10724729528,669781989470.0,4355720,386.21
TAIEX,2026-01-05,29779.7,30339.32,29779.7,30105.04,12257092861,800793653955.0,4932097,755.23
